Valparaíso;Viña del Mar;323.530;325.195;326.760;328.241;329.616;330.898
Valparaíso;Zapallar;6.205;6.223;6.244;6.256;6.268;6.274
Libertador General Bernardo O'Higgins;Chépica;16.081;16.196;16.278;16.362;16.449;16.496
Libertador General Bernardo O'Higgins;Chimbarongo;37.424;37.660;37.876;38.065;38.223;38.350
Libertador General Bernardo O'Higgins;Codegua;14.166;14.392;14.588;14.787;14.978;15.143
Libertador General Bernardo O'Higgins;Coinco;7.191;7.217;7.241;7.261;7.281;7.286
Libertador General Bernardo O'Higgins;Coltauco;19.703;19.894;20.078;20.251;20.412;20.558
Libertador General Bernardo O'Higgins;Doñihue;20.318;20.499;20.677;20.838;20.981;21.119
Libertador General Bernardo O'Higgins;Graneros;33.726;34.212;34.677;35.124;35.535;35.941
Libertador General Bernardo O'Higgins;La Estrella;3.305;3.314;3.333;3.349;3.356;3.370
Libertador General Bernardo O'Higgins;Las Cabras;23.960;24.134;24.295;24.447;24.574;24.689
Libertador General Bernardo O'Higgins;Litueche;6.303;6.355;6.385;6.418;6.455;6.480
Libertador General Bernardo O'Higgins;Lolol;6.994;7.022;7.053;7.072;7.088;7.100
Libertador General Bernardo O'Higgins;Machalí;51.665;53.118;54.519;55.831;57.069;58.209
Libertador General Bernardo O'Higgins;Malloa;13.861;13.905;13.937;13.972;13.990;13.995
Libertador General Bernardo O'Higgins;Marchigüe;7.594;7.623;7.637;7.650;7.661;7.667
Libertador General Bernardo O'Higgins;Mostazal;26.433;26.693;26.931;27.157;27.367;27.548
Libertador General Bernardo O'Higgins;Nancagua;17.075;17.113;17.147;17.169;17.178;17.171
Libertador General Bernardo O'Higgins;Navidad;5.958;5.980;5.994;6.006;6.013;6.013
Libertador General Bernardo O'Higgins;Olivar;15.025;15.248;15.489;15.725;15.994;16.281
Libertador General Bernardo O'Higgins;Palmilla;13.260;13.379;13.468;13.559;13.644;13.713
Libertador General Bernardo O'Higgins;Paredones;6.439;6.389;6.331;6.276;6.212;6.148
Libertador General Bernardo O'Higgins;Peralillo;11.562;11.658;11.742;11.828;11.904;11.967
Libertador General Bernardo O'Higgins;Peumo;16.089;16.181;16.273;16.345;16.403;16.464
Libertador General Bernardo O'Higgins;Pichidegua;20.216;20.317;20.400;20.481;20.537;20.583
Libertador General Bernardo O'Higgins;Pichilemu;14.408;14.502;14.587;14.665;14.730;14.787
Libertador General Bernardo O'Higgins;Placilla;9.254;9.293;9.312;9.333;9.333;9.322
Libertador General Bernardo O'Higgins;Pumanque;3.470;3.469;3.452;3.451;3.442;3.431
Libertador General Bernardo O'Higgins;Quinta de Tilcoco;13.241;13.333;13.408;13.489;13.541;13.596
Libertador General Bernardo O'Higgins;Rancagua;233.389;234.048;234.724;235.222;235.604;235.849
Libertador General Bernardo O'Higgins;Rengo;61.102;61.700;62.284;62.827;63.348;63.820
Libertador General Bernardo O'Higgins;Requínoa;31.405;32.827;34.479;36.414;38.682;41.359
Libertador General Bernardo O'Higgins;San Fernando;73.586;74.030;74.435;74.788;75.092;75.329
Libertador General Bernardo O'Higgins;San Vicente;46.985;47.317;47.613;47.873;48.112;48.318
Libertador General Bernardo O'Higgins;Santa Cruz;37.563;37.810;38.028;38.222;38.387;38.517
Maule;Cauquenes;40.661;40.401;40.135;39.853;39.544;39.223
Maule;Chanco;9.103;9.037;8.958;8.874;8.785;8.697
Maule;Colbún;19.444;19.499;19.530;19.561;19.577;19.586
Maule;Constitución;50.754;50.888;51.031;51.161;51.291;51.412
Maule;Curepto;10.852;10.799;10.732;10.674;10.611;10.534
Maule;Curicó;144.025;145.344;146.612;147.820;148.959;150.024
Maule;Empedrado;4.478;4.477;4.476;4.461;4.457;4.451
Maule;Hualañé;10.241;10.230;10.204;10.182;10.152;10.121
Maule;Licantén;7.267;7.253;7.249;7.227;7.210;7.188
Maule;Linares;91.030;91.193;91.303;91.379;91.398;91.372
Maule;Longaví;29.526;29.486;29.420;29.348;29.268;29.165
Maule;Maule;49.334;53.238;57.427;61.882;66.634;71.691
Maule;Molina;42.273;42.409;42.531;42.632;42.712;42.767
Maule;Parral;38.686;38.552;38.403;38.227;38.048;37.839
Maule;Pelarco;7.936;7.944;7.955;7.959;7.950;7.958
Maule;Pelluhue;7.623;7.678;7.745;7.800;7.850;7.896
Maule;Pencahue;8.845;8.840;8.834;8.812;8.796;8.785
Maule;Rauco;10.044;10.115;10.182;10.250;10.303;10.358
Maule;Retiro;19.706;19.696;19.688;19.660;19.631;19.574
Maule;Río Claro;13.509;13.505;13.497;13.475;13.448;13.423
Maule;Romeral;15.112;15.234;15.351;15.459;15.559;15.663
Maule;Sagrada Familia;19.537;19.596;19.655;19.696;19.734;19.751
Maule;San Clemente;41.556;41.746;41.916;42.067;42.202;42.303
Maule;San Javier;41.099;41.157;41.181;41.197;41.188;41.156
Maule;San Rafael;9.782;9.908;10.045;10.171;10.295;10.412
Maule;Talca;233.339;234.760;236.037;237.283;238.380;239.317
Maule;Teno;28.504;28.591;28.661;28.729;28.781;28.809
Maule;Vichuquén;5.134;5.127;5.118;5.096;5.085;5.066
Maule;Villa Alegre;15.350;15.306;15.274;15.232;15.179;15.119
Maule;Yerbas Buenas;18.239;18.313;18.383;18.448;18.498;18.542
Bío-Bío;Alto Biobío;6.118;6.034;5.957;5.886;5.817;5.744
Bío-Bío;Antuco;3.945;3.926;3.906;3.891;3.858;3.842
Bío-Bío;Arauco;38.270;38.363;38.431;38.490;38.518;38.521
Bío-Bío;Cabrero;29.136;29.357;29.563;29.773;29.974;30.173
Bío-Bío;Cañete;34.202;34.260;34.277;34.287;34.266;34.214
Bío-Bío;Chiguayante;99.036;100.157;101.243;102.321;103.367;104.382
Bío-Bío;Concepción;229.017;229.118;229.160;229.156;228.960;228.779
Bío-Bío;Contulmo;5.581;5.549;5.500;5.449;5.412;5.365
Bío-Bío;Coronel;115.062;116.256;117.423;118.552;119.664;120.729
Bío-Bío;Curanilahue;34.894;34.977;35.047;35.095;35.144;35.157
Bío-Bío;Florida;8.939;8.843;8.742;8.638;8.530;8.433
Bío-Bío;Hualpén;108.028;109.436;110.823;112.188;113.524;114.833
Bío-Bío;Hualqui;25.266;25.745;26.243;26.715;27.197;27.670
Bío-Bío;Laja;24.040;24.066;24.083;24.089;24.092;24.079
Bío-Bío;Lebu;26.567;26.618;26.670;26.706;26.759;26.791
Bío-Bío;Los Alamos;23.588;23.925;24.253;24.584;24.914;25.230
