index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,0,0,0,1,4,2,2,2,3,0,0
10,0,2,1,0,0,2,0,0,1,1,2,0
20,0,2,0,0,0,4,1,3,2,1,2,2
30,4,3,1,1,0,6,3,3,2,0,0,1
40,2,4,1,4,6,3,7,5,5,5,4,2
50,9,6,11,14,15,25,15,16,17,14,10,9
60,37,25,20,30,41,58,54,53,46,36,20,21
70,77,55,57,75,91,140,128,107,92,87,65,90
80,152,84,132,126,151,296,279,230,182,160,139,136
90,115,76,82,99,137,214,197,164,141,104,109,88
100,2,7,11,6,6,19,27,18,11,7,15,5
110,0,0,0,0,0,0,0,0,0,0,0,0
