index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,0,0,0,2,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0
20,4,1,2,1,0,0,0,0,0,0,0,0
30,1,1,3,1,0,0,0,0,0,0,0,0
40,4,7,11,4,2,0,0,0,0,0,0,0
50,15,10,13,14,8,0,0,0,0,0,0,0
60,54,39,29,29,20,0,0,0,0,0,0,0
70,67,68,79,76,46,0,0,0,0,0,0,0
80,142,117,127,123,68,0,0,0,0,0,0,0
90,116,89,131,96,53,0,0,0,0,0,0,0
100,3,7,6,12,3,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0
