index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,7,1,2,1,6,9,12,4,7,10,3,4
10,2,4,2,1,1,10,4,2,4,0,2,1
20,4,6,4,3,8,16,6,6,5,5,7,4
30,7,5,6,8,7,17,12,15,8,13,6,10
40,12,21,9,14,21,39,24,22,15,16,13,16
50,42,27,26,37,80,95,77,58,55,41,38,38
60,83,83,96,91,158,207,194,153,138,118,105,104
70,194,175,173,208,272,394,366,314,290,286,217,212
80,282,280,267,315,439,567,580,513,449,449,368,377
90,161,144,186,199,265,338,348,352,328,275,231,223
100,17,12,11,17,18,21,38,31,16,18,19,16
110,0,0,0,0,0,0,1,0,0,0,0,0
