index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,0,1,0,3,2,6,6,2,0,4,0,4
10,1,2,2,2,0,1,2,1,3,0,2,1
20,3,0,0,3,6,4,2,1,2,2,2,4
30,6,3,9,2,5,6,4,5,8,6,6,3
40,17,12,11,11,9,18,25,15,9,10,8,10
50,25,17,31,20,31,44,43,31,30,19,22,26
60,42,47,41,45,60,84,71,66,48,52,48,47
70,74,67,77,78,101,168,173,130,115,101,122,103
80,147,99,95,138,158,237,239,179,180,161,104,123
90,63,50,32,69,70,108,104,94,69,70,47,67
100,7,4,3,5,4,11,9,4,1,3,7,2
110,0,0,0,0,1,0,0,0,0,0,0,0
