index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,0,4,1,2,3,4,3,2,0,0,1
10,0,0,2,2,0,0,1,0,0,0,2,1
20,1,3,3,1,1,0,2,1,2,1,1,0
30,1,3,4,2,0,2,3,8,0,2,2,2
40,5,6,4,4,8,4,5,7,1,4,4,8
50,12,7,13,13,12,19,20,27,16,14,15,9
60,34,24,37,33,52,43,70,55,59,39,42,27
70,67,63,75,92,90,140,155,138,108,96,87,86
80,142,116,137,166,153,231,261,295,220,184,160,151
90,103,69,110,110,140,170,230,226,194,136,144,114
100,14,6,7,14,19,8,19,27,19,14,11,12
110,0,0,0,0,0,0,0,0,0,0,0,0
