index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,1,0,3,3,10,8,4,2,7,0,4
10,1,4,3,2,0,3,2,1,4,1,4,1
20,3,2,0,3,6,8,3,4,4,3,4,6
30,10,6,10,3,5,12,7,8,10,6,6,4
40,19,16,12,15,15,21,32,20,14,15,12,12
50,34,23,42,34,46,69,58,47,47,33,32,35
60,79,72,61,75,101,142,125,119,94,88,68,68
70,151,122,134,153,192,308,301,237,207,188,187,193
80,299,183,227,264,309,533,518,409,362,321,243,259
90,178,126,114,168,207,322,301,258,210,174,156,155
100,9,11,14,11,10,30,36,22,12,10,22,7
110,0,0,0,0,1,0,0,0,0,0,0,0
