index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,0,1,1,3,5,3,4,2,3,3,2,2
10,1,0,3,1,1,0,2,3,0,3,2,1
20,2,2,2,1,2,5,7,3,6,5,2,3
30,3,3,4,1,4,5,3,7,7,8,5,2
40,13,8,17,12,10,13,11,16,12,13,14,11
50,17,22,21,28,35,35,39,27,35,33,33,31
60,47,48,59,55,67,63,69,86,76,66,50,51
70,96,94,100,121,121,148,168,178,141,144,112,97
80,167,116,126,133,183,222,247,256,236,176,143,148
90,56,44,58,49,84,118,118,130,90,89,65,73
100,0,2,1,2,4,7,3,6,5,8,4,3
110,0,0,0,0,0,0,0,0,0,0,0,0
