index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,3,4,2,3,3,6,15,8,3,3,3,0
10,3,2,0,0,1,3,2,1,2,4,1,0
20,3,5,7,5,5,6,6,9,2,3,0,4
30,0,6,4,7,3,9,13,14,4,9,8,6
40,13,9,13,6,8,18,31,32,19,20,8,9
50,30,30,27,26,39,51,77,68,45,29,25,26
60,77,37,74,76,76,98,150,141,116,80,66,76
70,161,124,137,145,150,208,261,240,236,182,166,141
80,238,201,203,273,265,360,450,382,391,320,271,239
90,114,124,121,139,162,204,225,225,202,153,174,139
100,11,10,13,11,16,17,20,16,23,16,20,11
110,0,0,1,0,0,0,0,0,0,0,0,0
