index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,1,5,4,7,6,8,5,5,3,2,3
10,1,0,5,3,1,0,3,3,0,3,4,2
20,3,5,5,2,3,5,9,4,8,6,3,3
30,4,6,8,3,4,7,6,15,7,10,7,4
40,18,14,21,16,18,17,16,23,13,17,18,19
50,29,29,34,41,47,54,59,54,51,47,48,40
60,81,72,96,88,119,106,139,141,135,105,92,78
70,163,157,175,213,211,288,323,316,249,240,199,183
80,309,232,263,299,336,453,508,551,456,360,303,299
90,159,113,168,159,224,288,348,356,284,225,209,187
100,14,8,8,16,23,15,22,33,24,22,15,15
110,0,0,0,0,0,0,0,0,0,0,0,0
