index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,2,3,1,1,0,3,8,1,2,3,2,0
10,1,0,0,0,1,3,1,1,0,3,0,0
20,1,3,5,3,2,3,5,9,2,2,0,3
30,0,4,3,7,0,6,8,12,2,6,7,4
40,11,4,10,5,6,12,19,20,15,10,6,8
50,21,22,22,21,24,35,49,42,34,15,19,16
60,54,22,41,46,52,66,84,78,74,41,35,51
70,95,72,79,69,80,120,133,119,146,103,99,78
80,112,88,90,140,121,175,203,179,176,157,134,112
90,38,47,48,51,71,68,76,77,70,50,73,46
100,2,2,1,4,2,3,3,4,9,0,5,1
110,0,0,0,0,0,0,0,0,0,0,0,0
