index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,1,1,2,3,3,7,7,1,0,1,0
10,2,2,0,0,0,0,1,0,2,1,1,0
20,2,2,2,2,3,3,1,0,0,1,0,1
30,0,2,1,0,3,3,5,2,2,3,1,2
40,2,5,3,1,2,6,12,12,4,10,2,1
50,9,8,5,5,15,16,28,26,11,14,6,10
60,23,15,33,30,24,32,66,63,42,39,31,25
70,66,52,58,76,70,88,128,121,90,79,67,63
80,126,113,113,133,144,185,247,203,215,163,137,127
90,76,77,73,88,91,136,149,148,132,103,101,93
100,9,8,12,7,14,14,17,12,14,16,15,10
110,0,0,1,0,0,0,0,0,0,0,0,0
