index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,2,1,2,1,2,5,9,3,5,4,1,2
10,1,3,2,1,1,5,2,1,3,0,2,0
20,3,2,4,1,7,10,2,5,4,2,5,3
30,5,3,4,6,2,14,6,9,7,7,3,5
40,8,17,5,10,16,25,17,14,7,10,11,9
50,31,19,22,22,52,67,52,42,42,24,25,25
60,44,56,55,61,100,135,116,85,78,65,54,57
70,115,100,103,113,158,216,207,171,152,172,127,123
80,127,135,141,151,220,269,264,269,210,204,167,194
90,58,43,73,89,111,128,134,147,123,96,91,84
100,4,3,5,3,4,10,8,9,2,5,5,4
110,0,0,0,0,0,0,0,0,0,0,0,0
